user_id,day,meal_type,target_cal,food_1,food_2,food_3,chosen_food
SU000001,1,breakfast,540.0,11,349,52,349
SU000001,1,lunch,720.0,156,559,115,156
SU000001,1,dinner,540.0,428,194,16,16
SU000001,2,breakfast,540.0,162,270,52,270
SU000001,2,lunch,720.0,590,334,587,590
SU000001,2,dinner,540.0,140,389,463,140
SU000001,3,breakfast,540.0,49,32,193,193
SU000001,3,lunch,720.0,157,53,85,53
SU000001,3,dinner,540.0,173,279,372,173
SU000001,4,breakfast,540.0,577,397,572,577
SU000001,4,lunch,720.0,55,27,53,55
SU000001,4,dinner,540.0,212,413,37,212
SU000001,5,breakfast,540.0,351,575,155,575
SU000001,5,lunch,720.0,221,323,403,323
SU000001,5,dinner,540.0,513,372,118,513
SU000001,6,breakfast,540.0,366,106,139,366
SU000001,6,lunch,720.0,26,77,334,77
SU000001,6,dinner,540.0,413,389,16,16
SU000001,7,breakfast,540.0,244,83,266,83
SU000001,7,lunch,720.0,332,165,5,165
SU000001,7,dinner,540.0,428,140,194,140
SU000001,8,breakfast,540.0,275,270,52,270
SU000001,8,lunch,720.0,126,566,555,126
SU000001,8,dinner,540.0,493,140,428,140
SU000001,9,breakfast,540.0,397,578,398,578
SU000001,9,lunch,720.0,107,214,449,449
SU000001,9,dinner,540.0,413,463,493,413
SU000001,10,breakfast,540.0,397,399,298,399
SU000001,10,lunch,720.0,157,78,77,77
SU000001,10,dinner,540.0,279,413,37,413
SU000001,11,breakfast,540.0,270,439,51,270
SU000001,11,lunch,720.0,166,402,323,323
SU000001,11,dinner,540.0,463,513,413,513
SU000001,12,breakfast,540.0,2,67,139,2
SU000001,12,lunch,720.0,424,323,147,323
SU000001,12,dinner,540.0,279,194,212,194
SU000001,13,breakfast,540.0,245,350,52,245
SU000001,13,lunch,720.0,405,287,478,478
SU000001,13,dinner,540.0,513,372,493,513
SU000001,14,breakfast,540.0,268,319,139,319
SU000001,14,lunch,720.0,267,444,27,27
SU000001,14,dinner,540.0,16,513,118,16
SU000002,1,breakfast,780.0,96,65,49,49
SU000002,1,lunch,1040.0,271,288,151,151
SU000002,1,dinner,780.0,29,58,259,259
SU000002,2,breakfast,780.0,350,83,299,83
SU000002,2,lunch,1040.0,273,148,401,148
SU000002,2,dinner,780.0,415,391,360,391
SU000002,3,breakfast,780.0,366,4,297,4
SU000002,3,lunch,1040.0,332,126,288,332
SU000002,3,dinner,780.0,81,304,73,73
SU000002,4,breakfast,780.0,351,330,438,351
SU000002,4,lunch,1040.0,321,151,559,151
SU000002,4,dinner,780.0,178,519,441,178
SU000002,5,breakfast,780.0,65,1,90,1
SU000002,5,lunch,1040.0,307,321,257,257
SU000002,5,dinner,780.0,339,494,71,339
SU000002,6,breakfast,780.0,65,96,19,19
SU000002,6,lunch,1040.0,271,101,122,271
SU000002,6,dinner,780.0,393,338,386,393
SU000002,7,breakfast,780.0,49,330,400,49
SU000002,7,lunch,1040.0,333,354,332,332
SU000002,7,dinner,780.0,453,173,391,453
SU000002,8,breakfast,780.0,51,575,104,51
SU000002,8,lunch,1040.0,551,223,404,223
SU000002,8,dinner,780.0,230,301,389,389
SU000002,9,breakfast,780.0,49,95,11,95
SU000002,9,lunch,1040.0,296,321,243,321
SU000002,9,dinner,780.0,179,304,311,304
SU000002,10,breakfast,780.0,104,155,3,155
SU000002,10,lunch,1040.0,41,321,418,321
SU000002,10,dinner,780.0,209,365,507,507
SU000002,11,breakfast,780.0,52,319,4,52
SU000002,11,lunch,1040.0,479,401,126,479
SU000002,11,dinner,780.0,48,445,17,445
