user_id,gender,age,height_cm,weight_kg,body_type,goal,activity,diet,spicy_pref,bmi
SU000001,male,19,171.6,65,meso,loss,low,veg,low,22.1
SU000002,male,31,164.5,53.4,ecto,gain,med,non-veg,high,19.7
SU000003,female,55,155.7,43.7,ecto,gain,high,non-veg,low,18
SU000004,male,23,174.3,63.8,meso,maintain,med,veg,medium,21
SU000005,male,42,169.5,53.6,ecto,gain,low,non-veg,high,18.7
SU000006,female,23,163,66.6,endo,loss,high,non-veg,medium,25.1
SU000007,female,31,155.1,48.3,meso,maintain,med,non-veg,low,20.1
SU000008,female,58,154.4,46.8,meso,gain,low,veg,high,19.6
SU000009,female,43,156.5,45.3,ecto,gain,low,non-veg,high,18.5
SU000010,female,27,168,55.6,ecto,gain,low,non-veg,medium,19.7
SU000011,female,41,162.8,51.6,ecto,gain,high,non-veg,low,19.5
SU000012,female,56,160.8,51.9,ecto,gain,med,non-veg,medium,20.1
SU000013,male,25,176.9,68.9,meso,gain,med,veg,medium,22
SU000014,female,50,164.1,67.9,endo,maintain,med,veg,medium,25.2
SU000015,male,27,179.1,71.1,meso,loss,low,non-veg,high,22.2
SU000016,female,37,156,46.6,ecto,gain,low,non-veg,low,19.1
SU000017,male,26,159.9,56.2,meso,maintain,high,veg,medium,22
SU000018,male,37,162.4,55.9,meso,loss,med,non-veg,high,21.2
SU000019,male,39,171.5,55.1,ecto,loss,med,non-veg,low,18.7
SU000020,female,22,158,53.4,meso,gain,low,non-veg,medium,21.4
SU000021,female,33,154.3,54.7,endo,maintain,high,veg,low,23
SU000022,male,21,174.6,65.1,meso,maintain,low,non-veg,low,21.4
SU000023,female,29,164.9,49.9,ecto,gain,low,non-veg,medium,18.4
SU000024,male,23,166.2,64.5,endo,maintain,high,veg,medium,23.4
SU000025,male,28,166,62.1,meso,gain,high,veg,high,22.5
SU000026,female,27,161.8,47.6,ecto,maintain,low,veg,high,18.2
SU000027,male,55,160.3,51.9,meso,loss,high,non-veg,low,20.2
SU000028,male,43,171.4,58.6,ecto,gain,high,veg,medium,19.9
SU000029,female,34,157.6,45.7,ecto,gain,med,veg,medium,18.4
SU000030,male,18,167.5,59,meso,maintain,high,non-veg,low,21
SU000031,female,22,157.6,62.1,endo,maintain,med,veg,high,25
SU000032,male,60,164.1,61.7,endo,loss,low,non-veg,high,22.9
SU000033,male,53,167.5,54.7,ecto,maintain,low,veg,medium,19.5
SU000034,male,23,161.1,53,meso,gain,high,veg,medium,20.4
SU000035,male,46,181.6,73.8,meso,maintain,med,veg,low,22.4
SU000036,male,45,163.3,53.3,ecto,gain,low,non-veg,high,20
SU000037,male,33,181.8,76.8,meso,loss,med,non-veg,high,23.2
SU000038,male,29,170.4,75.3,endo,maintain,low,non-veg,medium,25.9
SU000039,male,35,168.1,57.7,ecto,maintain,med,non-veg,low,20.4
SU000040,male,32,172.7,62,ecto,maintain,low,veg,high,20.8
SU000041,female,52,145,40,meso,gain,low,non-veg,medium,19
SU000042,female,38,151.7,45.1,meso,loss,high,veg,high,19.6
SU000043,female,18,159.7,53.3,meso,gain,high,non-veg,high,20.9
